M=MODULE	module_enabled	module_name								
Q	1	Which of the following is not a disadvantage of oral communication?		S	1		0	0	0	0
A	1	Transience 		0						
A	1	Expensive		0						
A	1	Susceptible to distortions		0						
A	1	Opportunity for ample expatiation		1						
Q	1	The Four Language skills you have studied in this course are ?		S	1		0	0	0	0
A	1	Listening, writing, speaking and reading		1						
A	1	Writing, hearing, reading and speaking		0						
A	1	Receptive skills, productive skills, instructive skills and constructive skills 		0						
A	1	Exceptional skills, interactive skills, discursive skills and transactional skills		0						
Q	1	An essay is made up of all but one of the following types of paragraph?		S	1		0	0	0	0
A	1	Introductory paragraph		0						
A	1	Developmental paragraphs		0						
A	1	Concluding paragraph		0						
A	1	Definitive paragraph 		1						
Q	1	Which of the following is true of intensive reading?		S	1		0	0	0	0
A	1	It involves reading as much printing materials as possible		0						
A	1	It is a reading approach that the reader covers several subject areas at a sitting		0						
A	1	A concentrated reading of a relatively short text with the sole aim of full understanding		1						
A	1	It is a reading approach that slows down both the speed of the reader and also adversely affects general comprehension of what is being read		0						
Q	1	Which of the following reading types aims at striking a balance between what a writer has said and what he/she has left unsaid?		S	1		0	0	0	0
A	1	Extensive reading		0						
A	1	Critical reading		1						
A	1	Skimming 		0						
A	1	Scanning		0						
Q	1	Susceptibility to distortion is a disadvantage of which form of communication?		S	1		0	0	0	0
A	1	Inter-personal communication		0						
A	1	Non-verbal communication		0						
A	1	Written communication		0						
A	1	Oral communicaton		1						
Q	1	Which of the following terms is most synonymous with summary?		S	1		0	0	0	0
A	1	precis		1						
A	1	concise essay		0						
A	1	robust writing		0						
A	1	excerpt		0						
Q	1	When is communication described as being effective? 		S	1		0	0	0	0
A	1	when a piece of information is successfully transmitted from the source to the receiver.		0						
A	1	when there is an appropriate feedback		0						
A	1	when the intention of the message transmitted is realized		0						
A	1	all of the above		1						
Q	1	What is that undesirable but ever present element in communication?		S	1		0	0	0	0
A	1	Noise		1						
A	1	Gesture		0						
A	1	Speech		0						
A	1	Signs and symbols		0						
Q	1	Which of the following best describes the concept of Communication?		S	1		0	0	0	0
A	1	The interaction between two people mainly for transactional purposes		0						
A	1	The act of sharing of meaning between two or more people, animals, plants, etc.		1						
A	1	  The act of processing and transmitting information only through specialized media for specific purposes		0						
A	1	The process of discussing issues either in a face to face encounter or through such media of communication as social networks, phones, radio, T.V. etc.		0						
Q	1	 is synonymous with paralanguage as a category of non-verbal communicaton?		S	1		0	0	0	0
A	1	Haptics		0						
A	1	Vocalics		1						
A	1	Occulesics		0						
A	1	Chronemics		0						
Q	1	Chronemics, as  a category of Non-verbal communication deals with ?  		S	1		0	0	0	0
A	1	Sight		0						
A	1	Touch		0						
A	1	Time		1						
A	1	Place		0						
Q	1	The modification of message in response to feedback is ?		S	1		0	0	0	0
A	1	a disadvantage of verbal communication		0						
A	1	an advantage of verbal communication		0						
A	1	a disadvantage of non-verbal communication		0						
A	1	an advantage of non-verbal communication		1						
Q	1	Exchange of views or opinions on an inter-personal communication basis is ?                                                         		S	1		0	0	0	0
A	1	an example of informal oral communication set-up		1						
A	1	an example of formal oral communication set-up 		0						
A	1	an example of non-verbal communication cue 		0						
A	1	an advantage of non-verbal communication cue		0						
Q	1	Which of the following groupings best presents the five major elements of the Communication process?		S	1		0	0	0	0
A	1	The columnist, the typesetter, the editor, the channel and the public		0						
A	1	The encoder, the message, the channel, the decoder and the feedback		1						
A	1	The communicators, the communication environment, the atmosphere, the principal actor and the Issues at stake.		0						
A	1	The preambles, the thematic concern of the message, the comprehension prowess and the resolution  		0						
Q	1	The three major categories of organizational communication are? 		S	1		0	0	0	0
A	1	Vertical, Semi-vertical and Horizontal or Lateral		1						
A	1	Linear, Interactional and Transactional		0						
A	1	Intra-personal, Inter personal and Mass 		0						
A	1	Interview, Grapevine and organized		0						
Q	1	Which of the following statements is most accurate? 		S	1		0	0	0	0
A	1	A paragraph is coherent when all the points in the discourse are fully expatiated on within it.		0						
A	1	Paragraph completeness refers to a situation where all the key points in a discourse are enumerated within a given paragraph.		0						
A	1	The use of parallel structures within a paragraph is architecturally seen as germane to the attainment of coherence. 		1						
A	1	What makes paragraph a miniature essay is its ability to summarize distinctly all the crucial points or ideas within a given discourse.		0						
Q	1	Structurally speaking, what type of sentence is the following: "Although the team played well, they could not lift the trophy"?		T	1		0	0	0	0
A	1			0						
A	1			0						
A	1			0						
A	1			0						
Q	1	Functionally speaking, what type of sentence is the following: " Kindly see a doctor!"?		T	1		0	0	0	0
A	1			0						
A	1			0						
A	1			0						
A	1			0						
Q	1	Which of the following statements is not exactly true of an outline?		S	1		0	0	0	0
A	1	Though tentative, it is meant to discipline a researcher in order to avoid ambiguity		0						
A	1	It is capable of metamorphosing into a full fledge table of contents		0						
A	1	Though sketchy and skeletal, all the ideas or points must be organized and arranged within it in a logically sequential order 		0						
A	1	None of the above		1						
Q	1	A situation where a present researcher makes use of another person's materials or ideas without any form of citation or reference is known, in academic circles, as ? 		S	1		0	0	0	0
A	1	Plagiarism		1						
A	1	Vulgarity		0						
A	1	Copy-cattism		0						
A	1	Malapropism		0						
Q	1	In effective reading, fixation refers to ?		S	1		0	0	0	0
A	1	skimming		0						
A	1	scanning		0						
A	1	critical reading		0						
A	1	None of the above		1						
Q	1	Which of the following is a bad reading habit which must be avoided as a plague, if comprehension must occur?		S	1		0	0	0	0
A	1	head movement and wandering thought or digression		0						
A	1	vocalization and finger pointing		0						
A	1	sub-vocalization and unnecessary repetition of lines		0						
A	1	All of the above		1						
Q	1	Which of the following options best expresses the uniqueness of human communication?		S	1		0	0	0	0
A	1	Ability to be patient enough to listen to, and understand the viewpoints of the other party.     		0						
A	1	Ability to create and use symbols		0						
A	1	Ability to react and provide feedback		0						
A	1	A blend of verbal and non-verbal approaches to communication		1						
Q	1	What are the key elements of the sentence?		S	1		0	0	0	0
A	1	Subject, Verb and Predicate		1						
A	1	Morpheme, Phrase and Clause		0						
A	1	Initial capitalization, comma and Full-stop		0						
A	1	Statement, Question and Exclamation		0						
Q	1	Which punctuation mark is normally used in direct speeches that are not lengthy?		S	1		0	0	0	0
A	1	Exclamation mark		0						
A	1	Apostrophe		0						
A	1	Question marks		0						
A	1	Inverted commas or Quotation marks		1						
Q	1	An only example of the neuter-gender pronoun in the subjective case that you know is ?		S	1		0	0	0	0
A	1	its		0						
A	1	they		0						
A	1	she		0						
A	1	it		1						
Q	1	Which of the following statements is most appropriate?		S	1		0	0	0	0
A	1	Every complex sentence must have a co-ordinating conjunction.		0						
A	1	Every complex sentence must have a subordinating element.		1						
A	1	Every compound sentence must have both subordinating and co-ordinating elements.		0						
A	1	Every simple sentence must be characteristically short.		0						
Q	1	The  tense used to express a habitual action and to state an eternal truth is ?		S	1		0	0	0	0
A	1	Future Simple tense		0						
A	1	Present Simple tense.		1						
A	1	Present Perfect tense		0						
A	1	Past Perfect tense		0						
Q	1	A narrative essay is characteristically written in which tense?		S	1		0	0	0	0
A	1	Past tense		1						
A	1	Present tense		0						
A	1	Future tense		0						
A	1	Participial tense		0						
Q	1	State what you consider the basic difference between intra-personal communication and soliloquy?		S	1		0	0	0	0
A	1	Whereas intra-personal communication occurs within an individual, soliloquy is a direct address to a person(s) for compassion or assistance.		0						
A	1	Whereas intra-personal communication is employed to share views or ideas with oneself through sub-vocalization, soliloquy is an incoherent self talkwhich is indicative of an initial stage of derangement.		0						
A	1	Whereas intra-personal communication is a natural phenomenon in all normal humans, soliloquy is not natural but merely a dramatic device.		0						
A	1	Whereas intra-personal communication occurs within an individual, soliloquy is mostly used to elicit information from a person during an interactive session.		1						
Q	1	What is your understanding of Grapevine as it relates to organizational communication?		S	1		0	0	0	0
A	1	The germination of ideas and concepts and the dissemination of same within an organization through an a systemic approach.		0						
A	1	An informal dissemination of information related to the affairs of an organization based on social relationship rather than the organizational communication networks.		1						
A	1	A monitored and procedural linkage of information to the occurrences in an organization for the purposes of improved service provision.		0						
A	1	A constructive attack and criticism leveled against an organization to better the working condition of workers in such an organization.		0						
Q	1	Functionally, Which of the folowing is not among the three major types of paragraph are:		S	1		0	0	0	0
A	1	Introductory paragraph		0						
A	1	Developmental paragraphs		0						
A	1	Concluding paragraph		0						
A	1	None of the above		1						
Q	1	The Four main forms of communication that you have studied in this course are ?		S	1		0	0	0	0
A	1	Intra-personal, Inter-personal, Small Group and Mass communication		1						
A	1	Cross-cultural, Trans-cultural, Inter-cultural and Cultural communication		0						
A	1	Political, Cultural, Socio-cultural and Religio-cultural communication 		0						
A	1	Pre-textual, Contextual, Trans-textual and Inter-textual communication		0						
Q	1	Which one of the following epithets does not describe the essence of communication?		S	1		0	0	0	0
A	1	phatic		0						
A	1	expressive		0						
A	1	interrogative		0						
A	1	None of the above		1						
Q	1	Kinesics and proxemics, as categories of non-verbal communication, refer to ? 		S	1		0	0	0	0
A	1	The use of body position and space		1						
A	1	The use of time and physical touch		0						
A	1	The use of voice pitch and volume for effect		0						
A	1	The use of eye contact and signs		0						
Q	1	Which of the following statements is most accurate?		S	1		0	0	0	0
A	1	Whereas scanning involves a quick read for specific idea(s) from a text, skimming entails glancing through it to obtain a general idea of what it is all about 		1						
A	1	Whereas skimming involves a quick read for specific idea(s) from a text, scanning entails a thorough reading to obtain a detailed idea of what it is all about 		0						
A	1	Scanning and skimming are synonymous with each other		0						
A	1	Both skimming and scanning are not recommended for an efficient reader at all.		0						
Q	1	Which of the following statements is most appropriate?		S	1		0	0	0	0
A	1	An encoder always transmits meaning not message 		0						
A	1	An encoder always transmit message not meaning		1						
A	1	In communication, meaning is the conveyor of the message 		0						
A	1	Communication is not a process in continuum		0						
Q	1	Which of these statements is grammatically correct?		S	1		0	0	0	0
A	1	Funmi and Kehinde did not greet themselves this morning.		0						
A	1	Funmi and Kehinde did not greet each other this morning.		1						
A	1	Funmi and Kehinde did not greet one another.		0						
A	1	Neither Funmi nor Kehinde greeted the two both of them this morning. 		0						
Q	1	Which of the communication models is described as being mono-directional?		S	1		0	0	0	0
A	1	Transactional		0						
A	1	Interactional		0						
A	1	Linear		1						
A	1	Contractual 		0						
Q	1	What a day!"Functionally speaking, what type of sentence is this?		S	1		0	0	0	0
A	1	Declarative		0						
A	1	Exclamatory		1						
A	1	Interrogatory		0						
A	1	Interjectory		0						
Q	1	"Whichever way you lookat it, there is a remarkable improvement in the economic situation of our nation." Structurally speaking, what type of sentence is this? 		S	1		0	0	0	0
A	1	simple		0						
A	1	compound		0						
A	1	complex		1						
A	1	compound-complex		0						
Q	1	The word "who" can be used both as interrogative and a relative pronoun. True OR False?		T	1		0	0	0	0
A	1			0						
A	1			0						
A	1			0						
A	1			0						
Q	1	The table fan was stolen last week. The word "table" used in this sentence is a/an ?		S	1		0	0	0	0
A	1	Adjective 		1						
A	1	adverb		0						
A	1	noun		0						
A	1	conjunction		0						
Q	1	"In an organization, rumours are purely destructive; and are eradicated in every successful organization," True OR False?		T	1		0	0	0	0
A	1			0						
A	1			0						
A	1			0						
A	1			0						
Q	1	The army parade is best illustrative of which model of communication?		S	1		0	0	0	0
A	1	Linear communication model 		1						
A	1	Interactional communication model		0						
A	1	Transactional communication model		0						
A	1	None of the above		0						
Q	1	Which communication model is best illustrated with the "ping-pong" table tennis game?		S	1		0	0	0	0
A	1	Linear communication model 		0						
A	1	Interactional communication model		1						
A	1	Transactional communication model		0						
A	1	None of the above		0						
Q	1	Which of the following is an example of psychological barrier  to communication?		S	1		0	0	0	0
A	1	hearing impairment		0						
A	1	worry		1						
A	1	environmental noise		0						
A	1	stuttering		0						
Q	1	"Oral communication is synonymous with non-verbal communication." True OR False?		T	1		0	0	0	0
A	1			0						
A	1			0						
A	1			0						
A	1			0						
Q	1	"Transience and tenability are features of oral communication." True OR False?		T	1		0	0	0	0
A	1			0						
A	1			0						
A	1			0						
A	1			0						
Q	1	"Semantic barriers are examples of external barriers to effective communication." True OR False?		T	1		0	0	0	0
A	1			0						
A	1			0						
A	1			0						
A	1			0						
Q	1	A sense of integrity and discipline is attributable to which category of non-verbal communication?		S	1		0	0	0	0
A	1	Territoriality		0						
A	1	Kinesics		0						
A	1	Proxemics		0						
A	1	Chronemics		1						
Q	1	"Encoder, as an element of communication is the generator of the message to be communicated; and is antonymous to decoder." TRUE OR FALSE		T	1		0	0	0	0
A	1			0						
A	1			0						
A	1			0						
A	1			0						
Q	1	The sentence element which follows a transitive verb is known as the … ( )		S	1		0	0	0	0
A	1	object		1						
A	1	complement		0						
A	1	adverbial		0						
A	1	adverb		0						
Q	1	Reading and listening are … type of language skills ( )		S	1		0	0	0	0
A	1	subjective		0						
A	1	productive		0						
A	1	reception		0						
A	1	receptive 		1						
Q	1	Another name for the “full stop” is… ( )		T	1		0	0	0	0
A	1			0						
A	1			0						
A	1			0						
A	1			0						
Q	1	A complex sentence contains a main clause and ….( )		S	1		0	0	0	0
A	1	one or more independent clauses		0						
A	1	one or more compound sentences		0						
A	1	one or more dependent clauses		1						
A	1	one simple sentence		0						
Q	1	Another name for paralanguage is… ( )		S	1		0	0	0	0
A	1	vocalics		1						
A	1	chronemics		0						
A	1	haptics		0						
A	1	kinesics		0						
Q	1	Biases and prejudices are examples of … barriers ( )		S	1		0	0	0	0
A	1	physiological 		0						
A	1	psychological 		1						
A	1	psychedelic		0						
A	1	environmental		0						
Q	1	Barriers associated with language use or the meaning of words  as a result of wrong choice of words or the use of an impassable accent are… barriers ( )		S	1		0	0	0	0
A	1	structural 		0						
A	1	NA		0						
A	1	syntactic		0						
A	1	semantic		1						
Q	1	Semi-vertical communication is a type of ... communication involving the workers, management and the workers' union  ( )		S	1		0	0	0	0
A	1	square		0						
A	1	cyclic		0						
A	1	external		0						
A	1	triangular		1						
Q	1	Vertical communication is divided into … ( )		S	1		0	0	0	0
A	1	horizontal and vertial communication		0						
A	1	zonal and backward communication 		0						
A	1	upward and downward communication 		1						
A	1	semi-vertical and triangular communication		0						
Q	1	Shared understanding is the central element of …. communication ( )		T	1		0	0	0	0
A	1			0						
A	1			0						
A	1			0						
A	1			0						
Q	1	… is the reaction or response given by the receiver to the message or the sender		T	1		0	0	0	0
A	1			0						
A	1			0						
A	1			0						
A	1			0						
Q	1	… ( ) is the information, idea or feeling that is shared, from which meaning is generated…( )		T	1		0	0	0	0
A	1			0						
A	1			0						
A	1			0						
A	1			0						
Q	1	Another name for the dependent clause is the...		S	1		0	0	0	0
A	1	superordinate clause		0						
A	1	subordinate clause		1						
A	1	nominal clause		0						
A	1	adjectival clause		0						
Q	1	In the sentence " I left so that he could concentrate on his studies", the expression "so that he could concentrate on his studies is an... 		S	1		0	0	0	0
A	1	adverbial clause of time		0						
A	1	adverbial clause of place		0						
A	1	adverbial clause or reason		0						
A	1	adverbial clause of purpose		1						
Q	1	The reading skill which involves glancing through a text to get the general idea of what it is all about it called... 		S	1		0	0	0	0
A	1	skinning		0						
A	1	scamming		0						
A	1	Skimming 		1						
A	1	scanning		0						
Q	1	in SQ3R, "S" stands for ... 		T	1		0	0	0	0
A	1			0						
A	1			0						
A	1			0						
A	1			0						
Q	1	In "They prayed before the ceremony started", "before the ceremony started" is an adverbial clause of ... 		T	1		0	0	0	0
A	1			0						
A	1			0						
A	1			0						
A	1			0						
Q	1	The name given to the nonverbal aspects of speech that pertain to the qualities of voice such as pitch, rate, volume as well as pause and silence is called... ( )		S	1		0	0	0	0
A	1	paralanguage		1						
A	1	paramilitary 		0						
A	1	haptics		0						
A	1	paratroop 		0						
Q	1	The best model of communication is the … model ( )		S	1		0	0	0	0
A	1	linear 		0						
A	1	interractive		0						
A	1	transactional		1						
A	1	transmission		0						
Q	1	In space and distance, a space of 12-25 feet between comunicators indicates the … distance…( ) 		S	1		0	0	0	0
A	1	social		0						
A	1	intinate 		0						
A	1	personal		0						
A	1	public		1						
Q	1	The three aspects of body language are… ( )		S	1		0	0	0	0
A	1	posture, gesture and facial expression		1						
A	1	posture, silence and distance		0						
A	1	gesture, noise and territory		0						
A	1	chronemics, posture and paralanguage		0						
Q	1	While oral communication is said to be vocal, written communication is… ( )		S	1		0	0	0	0
A	1	nonverbal		0						
A	1	nonvocal		1						
A	1	verbal		0						
A	1	formal		0						
Q	1	The process of receiving, constructing meaning from, and responding to spoken and/or nonverbal messages is known as… ( )		T	1		0	0	0	0
A	1			0						
A	1			0						
A	1			0						
A	1			0						
Q	1	The type of listening in which a listener's aim is to merely enjoy the message as a form of entertainment is known as… ( )		S	1		0	0	0	0
A	1	active listening		0						
A	1	appreciative listening		1						
A	1	critical listening		0						
A	1	lisstening style		0						
Q	1	In … listening, the listener tries to distinguish between the spoken words and the accompanying nonverbal messages     ( )		S	1		0	0	0	0
A	1	objective listening		0						
A	1	empathic listening		0						
A	1	discriminative listening		1						
A	1	critical listening		0						
Q	1	in SQ3R, "3R" stands for ... ( )		S	1		0	0	0	0
A	1	read, reread and recall		0						
A	1	recall, reread and recall		0						
A	1	read, recall and review		1						
A	1	read, recall and revise		0						
Q	1	The pattern of the following sentence "We made him the course representative" is … ( )		S	1		0	0	0	0
A	1	SPCA		0						
A	1	SPCO		0						
A	1	SPOC		1						
A	1	SPAO		0						
Q	1	In "I bought him a car",  the phrase "a car" is … ( )		S	1		0	0	0	0
A	1	an indirect object		0						
A	1	a direct object		1						
A	1	a benefactive object		0						
A	1	a complement		0						
Q	1	As sentence elements, the object follows a transitive verb while the complement follows a… verb ( )		S	1		0	0	0	0
A	1	gerund		0						
A	1	finite verb		0						
A	1	stative		0						
A	1	linking		1						
Q	1	In "They sacked him yesterday", the word "yesterday" is a/an… ( )		S	1		0	0	0	0
A	1	subject		0						
A	1	predicator		0						
A	1	object		0						
A	1	adverbial		1						
Q	1	In the sentence "I will have decided to believe whatever lie you tell", the expression, "whatever lie you tell" is… ( )		S	1		0	0	0	0
A	1	a prepositional phrase		0						
A	1	a noun phrase		0						
A	1	an adjectival clause		0						
A	1	a noun clause		1						
Q	1	The ….outline combines letters and numbers in a hierarchical sequence ( )		S	1		0	0	0	0
A	1	decimal 		0						
A	1	keywork 		0						
A	1	alphanumerical 		1						
A	1	full sentence outline		0						
Q	1	The ideation stage of writing is also known as the …. stage..( )		S	1		0	0	0	0
A	1	brain racking 		0						
A	1	prewriting		1						
A	1	drafting		0						
A	1	revising		0						
Q	1	…is the punctuation mark that ends of a declarative sentence… ( )		S	1		0	0	0	0
A	1	question mark 		0						
A	1	exclamation point		0						
A	1	colon		0						
A	1	period		1						
Q	1	What is the name of the punctuation mark enclosed in the following parentheses… (')		S	1		0	0	0	0
A	1	em dash		0						
A	1	en dash		0						
A	1	ellipsis		0						
A	1	apostrophe		1						
Q	1	The communicator who encodes the message is known as the … ( )		T	1		0	0	0	0
A	1			0						
A	1			0						
A	1			0						
A	1			0						
Q	1	Writing an outline belongs to what stage of the writing process… ( )		S	1		0	0	0	0
A	1	prewriting stage		1						
A	1	presenting stage		0						
A	1	drafting stage		0						
A	1	revising stage		0						
Q	1	Public relations, advertisement and correspondence are examples of…( )		S	1		0	0	0	0
A	1	internal communication		0						
A	1	external communication		1						
A	1	exterior communication		0						
A	1	triangular communication		0						
Q	1	In mass communication, the sender transmits highly structured messages to… ( )		S	1		0	0	0	0
A	1	illiterate audiences		0						
A	1	a single audience		0						
A	1	large audiences		1						
A	1	private audience		0						
Q	1	… barrier relates to the channel of communication ( )		S	1		0	0	0	0
A	1	syntactic noise		0						
A	1	organizational barrier		0						
A	1	physical barrier		0						
A	1	mechanical barrier		1						
Q	1	…is the element that reveals how , when, where or under what condition the action or event in the predicator occurs		S	1		0	0	0	0
A	1	subject		0						
A	1	predicator		0						
A	1	adverb		0						
A	1	adverbial		1						

								
