M=MODULE	module_enabled	module_name								
Q	1	The _____ people groups in Nigeria are found also in Senegal, Gambia, Guinea, Guinea Bissau, Mali and Benin?		S	1		0	0	0	0
A	1	Igbo		0						
A	1	Hausa		0						
A	1	Fulani		1						
A	1	Yoruba		0						
Q	1	The First amalgamation in Nigeria was between these two protectorate ____?		S	1		0	0	0	0
A	1	Lagos colony and The Norther protectorate		0						
A	1	Protectorate of Southern Nigeria and Lagos colony		1						
A	1	Protectorate of Western Nigeria and Lagos colony 		0						
A	1	Protectorate of Southern Nigeria and The Norther protectorate 		0						
Q	1	It was only in the year _____ that the declaration of the Rights of Man issued by the National Assembly of France during the French Revolution gave a universal and an unbiased dimension to citizenship?		S	1		0	0	0	0
A	1	1789		1						
A	1	1898		0						
A	1	1800		0						
A	1	1798		0						
Q	1	Besides the Ijaw and the Itsekiri, ____ communities have proved their best skills in the oil palm production technology except? 		S	1		0	0	0	0
A	1	The Urhobo		0						
A	1	The Isoko		0						
A	1	The Ilaje		1						
A	1	All of the above		0						
Q	1	In Niger Delta Region of Nigeria the clan or the village group is a _____?		S	1		0	0	0	0
A	1	Unitary System		0						
A	1	Federation		0						
A	1	Confederation		1						
A	1	All of the above		0						
Q	1	The farmers, petty civil servants, craftsmen and traders in the Sudan Savanna belong to the ____ class?		S	1		0	0	0	0
A	1	First class		0						
A	1	Second class		0						
A	1	Third class		1						
A	1	Second class lower		0						
Q	1	The Edoid culture group include the following except ___ ?		S	1		0	0	0	0
A	1	Esan		0						
A	1	Idoma		1						
A	1	Etsako		0						
A	1	Igarra		0						
Q	1	Among the Igbo of Nigeria ____ is the link between his people and the ancestors?		S	1		0	0	0	0
A	1	Obi		0						
A	1	Okpara		1						
A	1	Debia		0						
A	1	Amadioha		0						
Q	1	The following people groups except ___ are well known for their strong belief in witchcraft, magic and sorcery?		S	1		0	0	0	0
A	1	Igbo		1						
A	1	Igala		0						
A	1	Jukun		0						
A	1	Tiv		0						
Q	1	Any person born within the territorial jurisdiction of a State is automatically a citizen of that State irrespective of the citizenship of the parents, this is known as ___? 		S	1		0	0	0	0
A	1	Jus Sanguinis		0						
A	1	Jus Soli 		1						
A	1	Jus Born 		0						
A	1	None of the above		0						
Q	1	___ ethnic group believe that only women are  witches?		S	1		0	0	0	0
A	1	The Nupe 		0						
A	1	The Gwari  		0						
A	1	The Jukun		0						
A	1	a and b above		1						
Q	1	In _______ the tertiary education witnessed a tremendous improvement with the adoption of the 6-3-3-4 system?		S	1		0	0	0	0
A	1	1981		1						
A	1	1980		0						
A	1	1983		0						
A	1	1982		0						
Q	1	The following communities except ____ are known for iron smelting as their major business?		S	1		0	0	0	0
A	1	Ife		0						
A	1	Nkwere		0						
A	1	Abiriba		0						
A	1	Opobo		1						
Q	1	Some scholars argue that the Igala are of a ________ extraction?		S	1		0	0	0	0
A	1	Hausa		0						
A	1	Fulani		0						
A	1	Israel		0						
A	1	Yoruba		1						
Q	1	The attachment to deities is so powerful in Ile-Ife, with as many as _____deities with official religious activities devoted to them? 		S	1		0	0	0	0
A	1	201		0						
A	1	2001		1						
A	1	200		0						
A	1	2000		0						
Q	1	The army of Kanem Bornu was very professional. It was divided strategically into ________ divisions?		S	1		0	0	0	0
A	1	2		1						
A	1	3		0						
A	1	4		0						
A	1	5		0						
Q	1	In the year 1970, the Sudan Savanna area accounted for ____ of the total guinea corn output in Nigeria?		S	1		0	0	0	0
A	1	90%		0						
A	1	91%		0						
A	1	92%		1						
A	1	93%		0						
Q	1	In the year 1960 the _______ sector absorbed over 75 percent of the work force?		S	1		0	0	0	0
A	1	Oil		0						
A	1	Communication		0						
A	1	Agriculture		1						
A	1	Transport		0						
